Stock Name,Ticker,12 Month Sales Growth,5 Year Sales Growth,12 Month EPS Growth,5 Year EPS Growth,Last Quarter EPS Surprise %,Estimated EPS Growth Next Year
QuidelOrtho,QDEL,8.43%,544.73%,-322.22%,,-14.29%,66.51%
Unifirst,UNF,12.73%,34.93%,-3.01%,-30.27%,-13.48%,8.82%
Cavco Industries,CVCO,-5.76%,96.42%,-6.56%,125.42%,-21.44%,6.07%
Transportadora De Gas Sa Ord B,TGS,2.19%,-17.15%,16.67%,20.69%,45.16%,135.06%
GoodRx Holdings,GDRX,-1.11%,,,,-25.00%,47.06%
QuantumScape,QS,,,,,-9.09%,0.00%
BlackLine,BL,12.52%,160.72%,,,45.45%,-5.45%
ACV Auctions,ACVA,7.95%,,,,-12.50%,-94.59%
Lumentum Holdings,LITE,-12.15%,23.15%,-278.00%,-228.99%,0.00%,-143.75%
Primoris Services,PRIM,38.17%,117.85%,-22.58%,213.04%,487.50%,23.22%
Asana,ASAN,20.43%,,,,6.67%,-11.11%
Sylvamo,SLVM,0.77%,,,,1.90%,5.19%
Gulfport Energy,GPOR,-34.52%,20.56%,-59.57%,553.13%,-23.38%,31.99%
Atlantic Union Bankshares,AUB,36.04%,47.07%,-11.39%,-2.78%,-7.14%,14.92%
Central Garden & Pet,CENT,0.78%,55.53%,12.61%,98.41%,19.28%,11.40%
Inari Medical,NARI,28.33%,,,,-136.36%,-148.78%
Cogent Communications Holdings,CCOI,61.54%,85.47%,9754.17%,16792.86%,-17.27%,-37.00%
Amicus Therapeutics,FOLD,17.06%,343.45%,,,66.67%,-210.53%
MGE Energy,MGEE,-2.86%,19.11%,31.67%,49.06%,-1.06%,9.21%
Broadstone Net Lease,BNL,11.57%,,60.00%,,5.88%,2.90%
Avista,AVA,0.36%,18.99%,43.75%,-41.03%,0.00%,-100.00%
MUELLER WATER PRODUCTS,MWA,-1.98%,30.54%,-5.88%,60.00%,100.00%,17.72%
California Water Service Group,CWT,-5.89%,10.92%,-52.78%,-45.16%,476.19%,-24.44%
Kosmos Energy,KOS,-55.98%,26.85%,-80.00%,,0.00%,30.56%
InterDigital,IDCC,-18.51%,46.05%,14.49%,154.84%,1.90%,-35.05%
Xenon Pharmaceuticals,XENE,-27.38%,,,,10.14%,14.43%
Topgolf Callaway Brands,MODG,5.74%,197.67%,11.32%,-6.35%,800.00%,20.59%
Golden Ocean Group,GOGL,-25.89%,31.07%,-106.45%,-133.33%,26.09%,22.38%
National Health Investors,NHI,30.02%,6.74%,95.74%,1.10%,4.76%,3.87%
Global Business Travel,GBTG,21.81%,,-560.00%,,-100.00%,36.36%
Nomad Foods,NOMD,9.53%,39.54%,-32.61%,47.62%,-2.44%,10.00%
Worthington Enterprises,WOR,30.62%,94.61%,66.88%,424.00%,0.00%,
Dorman Products,DORM,15.13%,101.79%,-13.33%,0.97%,59.76%,11.52%
Arrowhead Pharmaceuticals,ARWR,-3.65%,22403.08%,,,-1600.00%,-11.15%
Neogen,NEOG,72.61%,123.65%,-114.29%,-111.76%,-14.29%,21.74%
BancFirst,BANF,48.25%,88.28%,22.39%,80.22%,9.49%,-5.00%
Golub Capital BDC,GBDC,61.79%,302.92%,377.78%,19.44%,-1.92%,-7.18%
Grupo Aval Acciones Y Valores S.A,AVAL,-7.32%,-21.81%,-85.11%,-66.67%,-60.00%,48.28%
Riot Platforms,RIOT,5.20%,2650.54%,,,485.71%,2.38%
Texas Capital Bancshares,TCBI,66.77%,47.28%,125.42%,-3.62%,5.08%,17.00%
ESCO Technologies,ESE,13.55%,29.41%,21.35%,47.95%,6.82%,14.05%
SolarEdge Technologies,SEDG,36.21%,336.46%,680.77%,181.94%,-16.91%,-110.03%
CVR Energy,CVI,-28.88%,16.82%,-21.34%,158.00%,-69.23%,107.09%
Minerals Technologies,MTX,-0.99%,18.68%,-39.71%,-33.87%,17.32%,11.29%
LCI Industries,LCII,-33.95%,48.24%,-78.38%,-29.57%,166.67%,17.27%
Federated Hermes,FHI,18.37%,69.24%,26.56%,113.16%,0.00%,9.17%
Strategic Education,STRA,5.16%,150.88%,-6.35%,28.26%,85.00%,17.54%
PTC Therapeutics,PTCT,29.17%,211.04%,,,0.83%,-29.13%
SiTime,SITM,-65.08%,,-305.26%,,-19.54%,-48.12%
Dyne Therapeutics,DYN,,,,,0.00%,-0.33%
Arcellx,ACLX,,,,,72.55%,6.71%
DXC Technology,DXC,-10.40%,-35.69%,-256.19%,-269.95%,16.87%,17.95%
Manchester United,MANU,0.72%,7.98%,,,177.78%,-48.65%
COPT Defense Properties,CDP,-8.93%,15.31%,-6.90%,42.11%,3.33%,3.14%
First Interstate BancSystem,FIBK,21.97%,139.97%,10.17%,-12.16%,7.55%,14.04%
Janux Therapeutics,JANX,-55.27%,,,,14.29%,21.64%
MorphoSys AG,MOR,-8.36%,498.25%,,,-339.22%,-51.85%
IDEAYA Biosciences,IDYA,-30.63%,,,,0.00%,17.30%
Brighthouse Financial,BHF,-93.20%,-84.55%,-113.14%,,7.32%,19.58%
Enovis,ENOV,8.45%,-23.60%,-112.77%,-119.35%,0.00%,17.87%
Marqeta,MQ,23.81%,,,,12.50%,-2100.00%
Genworth Financial,GNW,0.26%,-12.37%,-6.45%,-23.68%,0.00%,
Highwoods Properties,HIW,1.69%,15.94%,-16.67%,-18.37%,-1.11%,-0.56%
Frontdoor,FTDR,7.39%,47.32%,112.50%,60.38%,115.00%,8.33%
Granite Construction,GVA,5.81%,11.33%,-200.00%,,57.14%,15.97%
Golar LNG,GLNG,-123.65%,-221.73%,,,2.27%,4.26%
IRhythm Technologies,IRTC,21.64%,249.96%,,,-48.48%,-33.54%
National Storage Affiliates Trust,NSA,8.36%,170.33%,16.67%,300.00%,-1.64%,2.00%
American States Water,AWR,28.37%,47.24%,92.59%,136.36%,5.08%,9.63%
Albany,AIN,4.88%,7.34%,-32.00%,-8.60%,3.45%,20.26%
Certara,CERT,9.29%,,,,-14.29%,20.69%
Azenta,AZTA,25.02%,-3.72%,,-106.25%,150.00%,58.62%
ZIM Integrated Shipping Services,ZIM,-63.02%,,-103.52%,,-31.19%,-246.81%
DLocal,DLO,59.26%,,50.00%,,-36.36%,52.27%
New York Community Bancorp,NYCB,266.60%,309.05%,61.76%,175.00%,-92.31%,-148.98%
Pampa Energia S.A,PAM,5.48%,-55.81%,45.14%,37.30%,255.07%,-7.08%
Hub,HUBG,-25.76%,16.29%,-52.63%,118.18%,10.00%,41.58%
Century Communities,CCS,-27.61%,58.72%,-66.53%,45.45%,43.23%,13.32%
Cathay General Bancorp,CATY,58.32%,84.39%,8.47%,42.22%,7.84%,4.06%
MP Materials,MP,-55.41%,,-89.47%,,-100.00%,-211.76%
McGrath RentCorp,MGRC,32.38%,73.56%,16.82%,92.31%,27.40%,21.58%
Alkami Technology,ALKT,30.14%,,,,16.67%,-65.79%
ICF,ICFI,18.19%,54.20%,10.31%,50.70%,22.92%,12.81%
10x Genomics,TXG,28.10%,,,,-8.70%,-41.94%
Apogee Therapeutics,APGE,,,,,-6.67%,12.12%
PENN Entertainment,PENN,2.94%,102.54%,220.00%,-15.79%,-33.90%,-146.67%
NMI Holdings Inc,NMIH,7.92%,111.55%,10.47%,156.76%,12.50%,7.55%
Ziff Davis,ZD,-3.36%,13.24%,,-36.84%,4.76%,7.55%
Ibotta,IBTA,,,,,80.00%,215.91%
Dream Finders Homes,DFH,19.19%,,8.33%,,-21.43%,9.35%
WSFS Financial,WSFS,33.01%,188.07%,19.15%,25.84%,3.74%,2.34%
Denali Therapeutics,DNLI,-16.61%,5390.63%,,,-1.49%,2.88%
Inter,INTR,36.46%,,,,12.50%,36.84%
Arhaus,ARHS,2.16%,,11.54%,,450.00%,17.11%
Intapp,INTA,25.29%,,,,66.67%,-40.54%
Silicon Motion Technology,SIMO,-44.38%,1.67%,-78.71%,-61.18%,17.07%,52.71%
Agilysys,AGYS,13.62%,65.00%,133.33%,,46.15%,85.94%
Foot Locker,FL,-11.34%,-4.64%,-72.26%,-72.46%,83.33%,41.83%
Spectrum Brands Holdings,SPB,-10.09%,-28.55%,5658.75%,272.43%,230.61%,14.53%
Utz Brands,UTZ,3.63%,,-225.00%,,7.69%,16.67%
Perficient,PRFT,3.76%,89.75%,-5.19%,329.41%,-16.67%,13.29%
Atlanta Braves Holdings,BATRA,,,,,-29.69%,-21.74%
MYR,MYRG,25.49%,161.61%,15.65%,224.39%,9.80%,36.36%
First Hawaiian,FHB,42.64%,32.43%,6.52%,-2.00%,0.00%,5.85%
MoonLake Immunotherapeutics,MLTX,,,,,-4.76%,43.10%
ICU Medical,ICUI,-2.08%,52.39%,,-128.47%,11.11%,45.71%
Agilon Health,AGL,71.47%,,,,150.00%,-58.82%
PriceSmart,PSMT,6.39%,40.20%,51.61%,54.10%,0.00%,13.79%
Arbor Realty Trust,ABR,59.26%,277.48%,0.00%,64.00%,7.14%,1.19%
Trinity Industries,TRN,73.32%,13.94%,400.00%,-53.49%,26.92%,38.67%
Atmus Filtration Technologies,ATMU,5.19%,,-6.78%,,1.69%,5.31%
Carnival,CUK,104.54%,12.72%,,-141.03%,36.36%,
Lufax Holding,LU,-43.99%,,-66.67%,,-400.00%,180.95%
Avidity Biosciences,RNA,6.42%,,,,2.47%,5.81%
Patrick Industries,PATK,-37.61%,52.21%,-59.50%,36.62%,35.61%,19.21%
Progyny,PGNY,43.27%,,66.67%,,21.43%,36.23%
AssetMark Financial Holdings,AMK,21.18%,,29.41%,214.29%,0.00%,7.02%
PJT Partners,PJT,48.53%,165.00%,16.22%,186.67%,117.78%,32.50%
TripAdvisor,TRIP,18.47%,14.09%,-19.05%,-26.09%,50.00%,29.85%
Atlantica Sustainable Infrastructure,AY,1.39%,8.43%,121.43%,-56.94%,58.33%,19.57%
Helen Of Troy,HELE,-16.74%,25.03%,-9.09%,-31.82%,5.50%,8.99%
Cushman & Wakefield,CWK,-7.91%,21.87%,-95.35%,,100.00%,31.25%
Adient,ADNT,16.36%,-9.77%,,32.76%,38.46%,60.99%
Kulicke And Soffa Industries,KLIC,-48.70%,-28.98%,-96.48%,-91.86%,-495.83%,1227.78%
TEGNA,TGNA,-6.80%,39.58%,55.93%,113.95%,4.65%,-36.66%
Indivior,INDV,24.89%,2.99%,-18.18%,-40.00%,-2.63%,29.50%
"USA Compression Partners, LP",USAC,20.68%,23.98%,,,33.33%,27.27%
CarGurus,CARG,-53.11%,117.35%,,-58.62%,15.79%,25.51%
TG Therapeutics,TGTX,2623.73%,40075.00%,,,-133.33%,-6500.00%
Central Garden & Pet,CENTA,0.78%,55.53%,12.61%,98.41%,19.28%,11.40%
AAR,AIR,16.22%,16.85%,0.00%,100.00%,1.19%,24.24%
Semtech,SMTC,17.01%,81.35%,-177.97%,-355.56%,-33.33%,-962.50%
LXP Industrial Trust,LXP,9.11%,-17.62%,-121.43%,,0.00%,4.76%
Remitly Global,RELY,48.82%,,,,21.43%,-78.95%
AZZ,AZZ,88.71%,49.05%,2.08%,63.33%,32.86%,19.59%
Carter's,CRI,-14.34%,-13.79%,-31.18%,-18.99%,47.83%,4.29%
Teekay Tankers,TNK,52.91%,115.92%,427.71%,,4.32%,-21.61%
ACADIA Pharmaceuticals,ACAD,22.80%,189.59%,,,150.00%,79.31%
Chesapeake Utilities,CPK,-2.78%,-0.78%,-6.25%,130.77%,-1.87%,15.71%
Yelp,YELP,12.80%,43.55%,90.91%,75.00%,400.00%,37.86%
Iovance Biotherapeutics,IOVA,,,,,6.67%,-35.56%
Kohl's,KSS,-3.88%,-15.14%,18.18%,-71.11%,-700.00%,46.95%
Plug Power,PLUG,72.00%,638.52%,,,-34.38%,-57.14%
ArcBest,ARCB,-16.51%,39.09%,-59.00%,3180.00%,-12.99%,29.73%
Tecnoglass,TGLS,33.21%,153.21%,57.14%,,-1.49%,14.84%
Mirion Technologies,MIR,12.17%,,,,0.00%,
Laureate Education,LAUR,19.90%,-54.57%,40.00%,-65.00%,-240.00%,20.16%
N-able,NABL,15.77%,,0.00%,,-33.33%,25.00%
Evolent Health,EVH,46.63%,225.11%,,,33.33%,26.60%
Green Brick Partners,GRBK,-13.11%,190.06%,-21.63%,462.07%,21.33%,10.86%
OSI Systems,OSIS,22.28%,43.34%,28.80%,884.00%,2.37%,7.05%
Atour Lifestyle Holdings,ATAT,,,,,8.33%,22.14%
Goosehead Insurance,GSHD,30.67%,368.42%,650.00%,,500.00%,67.14%
Immunocore Holdings,IMCR,48.86%,,,,-48.48%,18.09%
CLEAR Secure,YOU,45.90%,,,,130.00%,18.29%
Rumble,RUM,467.50%,,,,21.05%,-46.55%
Twist Bioscience,TWST,13.60%,874.62%,,,5.95%,-14.29%
Integra LifeSciences Holdings,IART,-4.16%,4.12%,-90.74%,-64.29%,0.00%,8.58%
Centuri Holdings,CTRI,,,,,0.00%,42.37%
Expros,XPRO,26.56%,200.49%,,,-37.50%,38.27%
Atlas Energy Solutions,AESI,23.20%,,,,-12.82%,100.00%
Adtalem Global Education,ATGE,2.06%,646.45%,155.00%,-50.96%,30.43%,16.73%
Eastern Bankshares,EBC,39.86%,,-3.23%,,15.00%,28.45%
Bausch Health Cos,BHC,10.17%,1.83%,,,-21.33%,15.98%
Lionsgate Studios,LION,,,,,0.00%,
Oceaneering,OII,14.10%,24.91%,375.00%,,-53.33%,20.00%
RXO INC,RXO,-21.45%,,-92.11%,,25.00%,252.63%
Community Financial System,CBU,16.06%,33.92%,21.92%,3.49%,3.80%,7.17%
OUTFRONT Media,OUT,4.13%,16.70%,-1142.86%,,40.00%,3.85%
Ambarella,AMBA,-31.19%,9.13%,,,9.18%,-12.96%
Werner Enterprises,WERN,-3.01%,31.01%,-58.04%,-11.32%,-50.00%,73.29%
StoneX Group,SNEX,-20.51%,111.40%,37.34%,161.45%,3.11%,-0.81%
Materion,MTRN,-10.50%,28.94%,2.68%,112.96%,-2.04%,23.04%
DigitalBridge,DBRG,1.99%,-30.96%,,,-75.00%,60.00%
NovoCure,NVCR,-10.52%,104.93%,,,16.28%,7.32%
Ardagh Metal Packaging S.A,AMBP,-3.68%,,-117.65%,,0.00%,35.29%
CONMED,CNMD,14.60%,49.26%,,43.33%,6.76%,28.14%
Prospect Capital,PSEC,19.98%,27.28%,,-106.25%,15.00%,
Calix,CALX,29.19%,133.68%,18.18%,,100.00%,-268.18%
Douglas Emmett,DEI,2.61%,15.46%,-128.57%,-121.05%,4.65%,-11.38%
First Advantage,FA,-8.06%,,-22.22%,,-12.50%,12.05%
Paymentus Holdings,PAY,24.15%,,,,33.33%,31.58%
Kodiak Gas Services,KGS,,,100.00%,,8.33%,-3.87%
Astrana Health,ASTH,29.11%,183.86%,7.69%,300.00%,-3.12%,17.28%
Vericel,VCEL,23.94%,141.56%,,,27.27%,390.00%
CVB Financial,CVBF,17.38%,91.60%,-4.76%,25.00%,0.00%,6.38%
Veeco Instruments,VECO,-1.44%,2.45%,-994.44%,,3.33%,27.13%
Gibraltar Industries,ROCK,-0.56%,37.16%,11.11%,42.86%,5.26%,12.94%
AZUL,AZUL,41.06%,26.33%,-111.73%,-177.19%,-7.55%,-113.98%
Coeur Mining,CDE,-13.17%,4.26%,,-600.00%,16.67%,287.50%
Embotelladora Andina S.A,AKO.A,12.49%,33.46%,-50.00%,-16.67%,0.00%,
Bank Of Hawaii,BOH,33.73%,37.39%,-18.84%,-13.85%,-5.43%,7.98%
Alamo,ALG,11.23%,71.39%,26.78%,89.38%,0.38%,10.00%
WaFd,WAFD,54.98%,70.88%,-2.20%,45.90%,135.48%,9.32%
Aspen Aerogels,ASPN,5.52%,122.24%,,,107.69%,712.50%
Star Bulk Carriers,SBLK,-37.92%,85.07%,-73.65%,193.33%,0.00%,20.16%
Fortrea Holdings,FTRE,,,,,-300.00%,121.25%
Arvinas,ARVN,61.24%,1502.94%,,,34.46%,-0.74%
LGI Homes,LGIH,-10.76%,53.69%,-56.73%,18.42%,-29.41%,24.81%
Rapid7,RPD,13.71%,225.84%,,,0.00%,51.35%
Evertec,EVTC,4.05%,47.40%,-8.51%,59.26%,16.67%,7.88%
Telephone And Data Systems,TDS,-6.08%,0.96%,-213.33%,-158.62%,145.45%,-41.18%
Iamgold,IAG,2.89%,-13.91%,,,450.00%,67.86%
NET Power,NPWR,,,,,0.00%,42.86%
Mister Car Wash,MCW,5.21%,,-27.27%,,-14.29%,18.52%
Four Corners Property Trust,FCPT,9.49%,75.00%,-22.86%,-38.64%,7.50%,2.44%
SiriusPoint,SPNT,62.31%,344.72%,,94.74%,0.00%,
Payoneer Global,PAYO,39.50%,,1100.00%,,60.00%,33.33%
Crescent Energy,CRGY,-45.80%,2568.51%,-91.54%,,155.56%,82.42%
ReNew Energy Global,RNW,-29.28%,,-96.20%,,28.57%,-25.00%
Biglari Holdings,BH.A,,,,,0.00%,
Lightspeed Commerce,LSPD,25.70%,,,,106.67%,-15.38%
Cedar Fair,FUN,-1.67%,31.73%,16.85%,205.88%,-2.92%,15.56%
HNI,HNI,-9.36%,3.66%,-141.67%,-171.43%,105.56%,16.77%
SEMrush Holdings,SEMR,19.29%,,,,0.00%,83.33%
Pactiv Evergreen,PTVE,-13.05%,,-295.00%,,55.56%,12.71%
ADMA Biologics Inc,ADMA,77.29%,1190.13%,,,60.00%,48.57%
Criteo S.A,CRTO,-5.28%,-12.71%,,-125.00%,46.67%,-10.18%
Talos Energy,TALO,-29.26%,80.08%,-95.28%,,46.43%,-1066.67%
Deciphera Pharmaceuticals,DCPH,17.88%,,,,5.45%,-17.67%
Paycor HCM,PYCR,26.17%,,,,16.67%,42.11%
Patterson,PDCO,5.03%,22.89%,20.31%,250.00%,-1.67%,5.17%
Rogers,ROG,-8.39%,7.52%,2.13%,3.23%,5.45%,48.21%
Cadeler,CDLR,,,,,0.00%,266.67%
Grocery Outlet Holding,GO,12.54%,,20.00%,118.18%,-76.92%,31.94%
Celldex Therapeutics,CLDX,68.75%,-90.22%,,,16.42%,23.71%
Savers Value Village,SVV,3.96%,,14.29%,,-116.67%,14.29%
Cellebrite DI,CLBT,14.17%,,-177.78%,,33.33%,27.27%
Progress Software,PRGS,19.83%,91.96%,-59.09%,-3.57%,11.96%,9.09%
Ero Copper,ERO,-13.49%,,-67.14%,,220.00%,91.57%
AvidXchange Holdings,AVDX,19.06%,,,,200.00%,1500.00%
TransAlta,TAC,29.62%,34.49%,,,307.69%,-25.00%
Maravai LifeSciences Holdings,MRVI,-71.61%,,-109.43%,,-83.33%,-13.33%
Simmons First National,SFNC,39.68%,67.48%,119.05%,-20.69%,0.00%,16.79%
Banc Of California,BANC,27.80%,7.89%,-27.91%,72.22%,-26.92%,65.79%
Rhythm Pharmaceuticals,RYTM,111.91%,,,,-0.43%,-45.27%
Upstart Holdings,UPST,-40.49%,,,,7.50%,-46.07%
CG Oncology,CGON,,,,,-2.86%,15.20%
Cable One,CABO,-1.18%,57.97%,-15.75%,22.35%,-24.77%,20.98%
RxSight,RXST,83.19%,,,,3.85%,-47.44%
Independent Bank,INDB,30.35%,127.07%,7.58%,25.66%,-2.61%,8.07%
Powell Industries,POWL,41.99%,57.51%,100.00%,4966.67%,45.50%,-0.55%
Rocket Lab USA,RKLB,11.86%,,,,18.18%,-39.02%
Array Technologies,ARRY,20.93%,,,,166.67%,20.59%
BankUnited,BKU,74.35%,28.38%,-4.88%,-4.88%,3.23%,9.12%
Six Flags Entertainment New,SIX,1.90%,-0.38%,-52.83%,-71.59%,0.00%,27.92%
Pacific Premier Bancorp Inc,PPBI,19.72%,143.86%,-17.81%,3.45%,2.08%,4.49%
Enerpac Tool Group,EPAC,2.87%,-50.73%,633.33%,-54.17%,0.00%,25.71%
Highest Performances Holdings,HPH,,,,,0.00%,
AST SpaceMobile,ASTS,151.58%,,,,11.11%,-60.61%
Flywire,FLYW,50.11%,,,,-25.00%,700.00%
LifeStance Health,LFST,23.89%,,,,33.33%,-14.81%
First Financial Bancorp,FFBC,57.53%,57.79%,25.45%,86.49%,0.00%,0.83%
VIZIO Holding,VZIO,-3.55%,,0.00%,,-700.00%,210.00%
Viasat,VSAT,35.60%,77.68%,,,-20.00%,-81.14%
AMN Healthcare Services Inc,AMN,-30.51%,77.62%,-44.04%,112.33%,4.30%,19.88%
MasterBrand,MBC,-18.76%,,21.88%,,0.00%,
NuScale Power,SMR,110.91%,,,,0.00%,-28.13%
Palomar Holdings,PLMR,13.48%,354.50%,21.05%,68.29%,34.57%,19.86%
Cinemark Holdings Inc,CNK,26.64%,5.99%,,14.29%,190.48%,50.91%
Novavax,NVAX,128.27%,3840.85%,,,-0.96%,-4500.00%
Urban Edge Properties,UE,1.25%,-2.84%,-10.00%,-80.85%,10.00%,6.30%
Geron,GERN,-57.14%,-85.71%,,,10.00%,-60.00%
Cimpress,CMPR,9.13%,24.99%,,,-207.14%,44.37%
Sunstone Hotel Investors,SHO,9.88%,-13.02%,26.67%,-5.00%,12.50%,12.36%
Tootsie Roll Industries,TR,11.65%,49.94%,17.65%,42.86%,0.00%,
Vera Therapeutics,VERA,,,,,-5.66%,9.48%
Ultra Clean Holdings,UCTT,-30.75%,45.24%,,-143.75%,0.00%,
Weibo,WB,-14.62%,9.63%,,-26.32%,9.68%,14.94%
Privia Health,PRVA,23.19%,,,,-60.00%,42.86%
Equity Commonwealth,EQC,-6.11%,-70.00%,1100.00%,-58.62%,0.00%,
Bread Financial Holdings,BFH,17.11%,-17.19%,280.00%,-75.83%,-6.51%,22.04%
Amphastar Pharmaceuticals,AMPH,18.01%,105.11%,48.48%,,27.40%,15.28%
LiveRamp Holdings,RAMP,4.87%,146.85%,,-785.71%,-175.00%,143.33%
Morgan Stanley Direct Lending Fund,MSDL,77.82%,,,,0.00%,-7.14%
Agios Pharmaceuticals,AGIO,20.25%,,,,11.59%,9.20%
Intellia Therapeutics,NTLA,-3.14%,76.95%,,,21.48%,4.95%
"AMNEAL PHARMACEUTICALS, INC",AMRX,7.10%,44.77%,,,50.00%,3.92%
Myriad Genetics,MYGN,2.34%,,,,30.00%,-65.71%
Dave & Buster's Entertainment,PLAY,32.41%,79.81%,7.41%,39.42%,-3.74%,22.11%
First Majestic Silver,AG,-8.00%,84.08%,,,-100.00%,-466.67%
Dorian LPG,LPG,67.93%,242.40%,114.77%,,5.52%,13.18%
Energizer Holdings,ENR,-3.93%,78.05%,-39.73%,12.82%,7.46%,5.59%
Garrett Motion,GTX,17.69%,15.28%,-1353.33%,-192.61%,27.27%,18.75%
Appian,APPN,16.05%,113.29%,,,-90.00%,-52.17%
Jamf Holding,JAMF,16.82%,,,,100.00%,2100.00%
PHINIA,PHIN,,,,,45.95%,19.01%
ODDITY Tech,ODD,54.94%,,79.31%,,29.27%,1.54%
Sixth Street Specialty Lending,TSLX,68.43%,62.06%,,21.15%,-3.33%,-3.86%
STAAR Surgical,STAA,13.82%,172.22%,-53.85%,200.00%,22.22%,475.00%
Dana,DAN,6.26%,33.79%,250.00%,-75.29%,-80.00%,74.73%
Arcos Dorados Holdings,ARCO,25.31%,16.58%,50.00%,,0.00%,14.77%
Vista Outdoor,VSTO,-13.62%,31.10%,-54.17%,,3.03%,13.28%
Blue Owl Capital III,OBDE,81.34%,,,,-9.30%,0.00%
Enlight Renewable Energy,ENLT,31.80%,,,,55.56%,64.00%
Janus,JBI,9.24%,,56.25%,,10.53%,3.88%
Kennametal,KMT,3.81%,-14.84%,-8.00%,-44.58%,-3.23%,9.52%
Atlanta Braves Holdings,BATRK,,,,,-29.69%,-26.09%
HighPeak Energy,HPK,19.53%,,-60.94%,1150.00%,-5.13%,-35.19%
EPlus Inc,PLUS,9.01%,49.21%,35.16%,272.73%,-24.07%,2.92%
Rush Street Interactive,RSI,14.83%,,,,57.14%,-780.00%
Seacoast Banking Of Florida,SBCF,94.48%,182.10%,-30.19%,5.71%,-8.82%,15.00%
NCR Atleos,NATL,,,,,0.00%,
UFP Technologies,UFPT,6.04%,104.08%,32.48%,187.04%,0.00%,
Hilltop Holdings,HTH,7.92%,-3.67%,-37.78%,-20.00%,50.00%,18.32%
John Wiley & Sons,WLY,-3.58%,10.24%,63.16%,33.33%,0.00%,-100.00%
Vermilion Energy,VET,-47.61%,22.32%,-66.07%,,-98.73%,36.43%
Premier,PINC,-0.10%,,-39.29%,-94.20%,16.67%,2.04%
SFL,SFL,23.21%,60.49%,50.00%,69.57%,0.00%,
Geo Group Inc,GEO,0.97%,1.78%,-45.95%,-35.48%,-5.26%,26.73%
Towne Bank,TOWN,28.41%,58.08%,-17.46%,44.44%,0.00%,24.64%
O-I Glass,OI,6.30%,6.66%,-56.60%,122.58%,25.00%,25.75%
John Wiley & Sons,WLYB,-3.58%,10.24%,63.16%,33.33%,0.00%,
MillerKnoll,MLKN,-13.07%,54.83%,-102.63%,-101.89%,2.27%,18.56%
Standex,SXI,1.94%,560.11%,34.75%,60.61%,4.79%,11.13%
Kymera Therapeutics,KYMR,43.44%,,,,5.48%,10.14%
Recursion Pharmaceuticals,RXRX,43.68%,,,,9.30%,-8.13%
Cheesecake Factory,CAKE,4.03%,47.48%,74.00%,42.62%,15.87%,9.84%
Beam Therapeutics,BEAM,20.84%,,,,16.55%,-0.43%
Stepan,SCL,-22.84%,11.56%,-75.66%,-61.81%,82.86%,69.09%
Buckle,BKE,-8.49%,38.03%,-23.21%,126.32%,0.00%,
United States Lime & Minerals,USLM,22.30%,88.53%,91.67%,192.37%,0.00%,
Fidelis Insurance Holdings,FIHL,42.65%,,1800.00%,,-1.33%,14.73%
Lions Gate Entertainment,LGF.A,1.64%,-2.58%,,,2200.00%,15.79%
DHT Holdings,DHT,73.52%,65.90%,,,-6.45%,-6.71%
Barnes,B,5.51%,-9.68%,,-63.44%,8.57%,23.98%
Tennant,TNC,14.81%,10.10%,88.76%,143.48%,24.83%,6.71%
SolarWinds,SWI,5.11%,-8.27%,,,46.15%,13.04%
Sonos,SONO,0.42%,79.16%,,,-17.78%,47.83%
Fox Factory Holding,FOXF,-1.47%,155.51%,-25.40%,100.00%,52.63%,48.33%
First Merchants,FRME,46.19%,108.03%,61.90%,27.50%,3.66%,5.23%
Rocket Pharmaceuticals,RCKT,,,,,4.35%,-34.39%
American Healthcare REIT,AHR,20.41%,2359.60%,,,-3.23%,12.30%
BrightSpring Health Services,BTSG,,,,,100.00%,62.71%
Sonic Automotive,SAH,4.18%,45.78%,-72.22%,66.67%,10.57%,7.85%
Hamilton Insurance Group,HG,,,-78.92%,,27.78%,5.54%
Edgewell Personal Care,EPC,4.20%,4.74%,77.19%,359.09%,18.92%,8.90%
Ameresco,AMRC,-43.35%,66.04%,-80.33%,-36.84%,9.09%,31.88%
NCR Voyix,VYX,-0.55%,29.21%,-57.69%,,-16.67%,75.56%
Catalyst Pharmaceuticals,CPRX,87.50%,,65.00%,,0.00%,21.91%
TreeHouse Foods,THS,4.12%,-42.05%,,,-50.00%,30.09%
Excelerate Energy,EE,-30.59%,,,,14.29%,6.20%
Fortuna Silver Mines,FSM,-5.64%,115.03%,0.00%,-85.71%,200.00%,16.22%
Teladoc Health,TDOC,10.13%,589.94%,,,-4.26%,-31.43%
Independent Bank,IBTX,39.39%,113.94%,-36.00%,-21.57%,10.53%,53.31%
JetBlue Airways,JBLU,6.75%,35.37%,,,18.87%,-79.82%
Federal Agricultural Mortgage,AGM,137.70%,146.18%,14.55%,51.02%,0.51%,9.06%
GCM Grosvenor,GCMG,,,-276.92%,,-55.56%,28.85%
TTM Technologies,TTMI,-12.64%,-23.77%,-74.07%,-89.23%,13.64%,22.48%
Driven Brands Holdings,DRVN,19.31%,,,,0.00%,29.89%
Bloomin' Brands,BLMN,2.45%,11.72%,,150.00%,-6.67%,10.25%
Costamare,CMRE,-7.18%,168.22%,24.73%,954.55%,5.00%,-6.82%
Heartland Financial USA,HTLF,42.98%,90.01%,-5.13%,30.59%,7.02%,3.78%
